Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
July 31 2020,Dakota,MN,Passenger,0,1,1,32,33,3.03
June 30 2019,Bucks,PA,Passenger,1,0,1,22,23,4.35
July 31 2021,Clinton,PA,Passenger,1,0,1,0,1,100.00
November 30 2022,Clark,WA,Truck,39,0,39,81962,82001,0.05
August 31 2022,Wahkiakum,WA,Passenger,24,12,36,3077,3113,1.16
February 28 2023,Adams,CO,Passenger,1,0,1,33,34,2.94
October 31 2017,Dallas,TX,Passenger,0,1,1,187,188,0.53
October 31 2020,Boulder,CO,Passenger,1,1,2,46,48,4.17
May 31 2023,Las Animas,CO,Passenger,1,0,1,0,1,100.00
January 31 2021,Chelan,WA,Truck,0,0,0,22829,22829,0.00
February 29 2020,Douglas,WA,Truck,0,0,0,12317,12317,0.00
May 31 2022,San Joaquin,CA,Passenger,1,1,2,101,103,1.94
October 31 2017,San Mateo,CA,Passenger,0,1,1,151,152,0.66
August 31 2022,Saratoga,NY,Passenger,1,0,1,43,44,2.27
January 31 2024,Isle of Wight,VA,Passenger,0,1,1,17,18,5.56
November 30 2019,Oldham,KY,Passenger,0,1,1,5,6,16.67
January 31 2023,Mason,WA,Passenger,379,191,570,46730,47300,1.21
February 28 2021,Virginia Beach,VA,Passenger,2,0,2,633,635,0.31
May 31 2017,Orleans,LA,Passenger,0,1,1,49,50,2.00
October 31 2023,Adams,CO,Passenger,1,0,1,21,22,4.55
May 31 2021,DeKalb,GA,Passenger,1,0,1,60,61,1.64
November 30 2023,Wichita,TX,Passenger,2,0,2,33,35,5.71
March 31 2021,Hillsborough,FL,Passenger,0,1,1,163,164,0.61
November 30 2021,Wichita,TX,Passenger,1,0,1,44,45,2.22
August 31 2019,Harnett,NC,Passenger,1,1,2,218,220,0.91
September 30 2019,Jefferson,WA,Passenger,207,126,333,25121,25454,1.31
January 31 2023,Wahkiakum,WA,Passenger,25,15,40,3047,3087,1.30
May 31 2023,Lane,OR,Passenger,0,2,2,81,83,2.41
September 30 2019,Lee,FL,Passenger,1,0,1,50,51,1.96
May 31 2017,Garfield,WA,Truck,0,0,0,931,931,0.00
July 31 2017,Marin,CA,Passenger,1,0,1,57,58,1.72
May 31 2024,Essex,MA,Passenger,1,0,1,11,12,8.33
July 31 2018,Okanogan,WA,Passenger,9,20,29,26016,26045,0.11
May 31 2018,Maricopa,AZ,Passenger,1,2,3,1638,1641,0.18
May 31 2018,Honolulu,HI,Passenger,2,2,4,541,545,0.73
March 31 2023,San Joaquin,CA,Passenger,0,1,1,83,84,1.19
November 30 2018,Tulsa,OK,Passenger,1,1,2,55,57,3.51
December 31 2021,Vigo,IN,Passenger,1,0,1,5,6,16.67
June 30 2022,Collier,FL,Passenger,1,0,1,18,19,5.26
October 31 2021,Lake,FL,Passenger,1,0,1,25,26,3.85
November 30 2017,Pierce,WA,Truck,0,0,0,136993,136993,0.00
December 31 2023,Columbia,WA,Truck,0,0,0,1550,1550,0.00
July 31 2018,Marion,IN,Passenger,1,0,1,120,121,0.83
March 31 2023,Saratoga,NY,Passenger,1,1,2,38,40,5.00
November 30 2022,Harford,MD,Passenger,1,1,2,40,42,4.76
November 30 2017,Frederick,MD,Passenger,0,1,1,87,88,1.14
October 31 2023,Mobile,AL,Passenger,1,0,1,27,28,3.57
November 30 2018,Lincoln,WA,Truck,0,0,0,4629,4629,0.00
April 30 2018,Utah,UT,Passenger,0,1,1,146,147,0.68
July 31 2022,Pierce,WA,Passenger,5237,2341,7578,542898,550476,1.38
September 30 2018,Arlington,VA,Passenger,1,1,2,171,173,1.16
November 30 2021,San Francisco,CA,Passenger,1,1,2,101,103,1.94
October 31 2022,Washtenaw,MI,Passenger,0,1,1,24,25,4.00
March 31 2017,Grant,WA,Passenger,17,21,38,60323,60361,0.06
June 30 2019,Klickitat,WA,Passenger,35,32,67,15553,15620,0.43
December 31 2023,Mason,WA,Truck,19,0,19,20428,20447,0.09
January 31 2022,Alameda,CA,Passenger,5,0,5,222,227,2.20
July 31 2017,Prince George's,MD,Passenger,0,1,1,187,188,0.53
March 31 2020,Newport,RI,Passenger,0,1,1,81,82,1.22
October 31 2021,Cook,IL,Passenger,2,0,2,215,217,0.92
January 31 2024,Loudoun,VA,Passenger,2,1,3,52,55,5.45
November 30 2022,Ferry,WA,Truck,0,0,0,3580,3580,0.00
May 31 2023,Chesterfield,VA,Passenger,1,0,1,38,39,2.56
October 31 2021,Ulster,NY,Passenger,1,0,1,14,15,6.67
May 31 2021,Saginaw,MI,Passenger,1,0,1,10,11,9.09
October 31 2020,Washoe,NV,Passenger,1,0,1,105,106,0.94
July 31 2017,Lake,CA,Passenger,0,1,1,15,16,6.25
December 31 2022,Las Animas,CO,Passenger,1,0,1,1,2,50.00
July 31 2023,Richmond,NY,Passenger,1,0,1,4,5,20.00
March 31 2017,Spokane,WA,Truck,1,0,1,90245,90246,0.00
November 30 2017,Honolulu,HI,Passenger,2,2,4,573,577,0.69
January 31 2020,Chesapeake,VA,Passenger,0,1,1,446,447,0.22
May 31 2021,Randolph,NC,Passenger,1,0,1,8,9,11.11
March 31 2023,Hawaii,HI,Passenger,1,0,1,30,31,3.23
October 31 2017,DeKalb,IN,Passenger,1,0,1,1,2,50.00
February 28 2021,Whatcom,WA,Passenger,1278,572,1850,149946,151796,1.22
March 31 2020,Mason,WA,Passenger,153,133,286,47499,47785,0.60
October 31 2023,Stevens,WA,Truck,2,0,2,18689,18691,0.01
February 28 2018,Flathead,MT,Passenger,1,0,1,58,59,1.69
May 31 2022,Sarpy,NE,Passenger,1,0,1,68,69,1.45
March 31 2017,Whitman,WA,Passenger,9,18,27,21931,21958,0.12
June 30 2018,Benton,WA,Truck,0,0,0,41024,41024,0.00
March 31 2022,Skagit,WA,Truck,1,0,1,32522,32523,0.00
November 30 2021,Albemarle,VA,Passenger,2,0,2,24,26,7.69
July 31 2019,Pierce,WA,Passenger,1876,1569,3445,544123,547568,0.63
July 31 2018,St. Mary's,MD,Passenger,1,0,1,216,217,0.46
April 30 2017,Cascade,MT,Passenger,0,1,1,64,65,1.54
October 31 2019,Kern,CA,Passenger,0,1,1,228,229,0.44
April 30 2023,San Francisco,CA,Passenger,1,0,1,67,68,1.47
November 30 2018,Washoe,NV,Passenger,1,0,1,113,114,0.88
February 28 2019,Moore,NC,Passenger,0,1,1,182,183,0.55
April 30 2024,Yakima,WA,Passenger,729,340,1069,164370,165439,0.65
August 31 2019,Whitman,WA,Passenger,34,44,78,22703,22781,0.34
February 28 2019,Kittitas,WA,Truck,0,0,0,14266,14266,0.00
October 31 2023,Adams,WA,Truck,3,0,3,5347,5350,0.06
March 31 2020,Tarrant,TX,Passenger,2,0,2,189,191,1.05
August 31 2023,Polk,OR,Passenger,1,1,2,16,18,11.11
May 31 2022,Hamilton,IN,Passenger,1,0,1,26,27,3.70
October 31 2020,Kitsap,WA,Passenger,1465,729,2194,179602,181796,1.21
November 30 2022,Thurston,WA,Passenger,2551,1120,3671,192052,195723,1.88
November 30 2020,Dallas,TX,Passenger,1,0,1,184,185,0.54
May 31 2023,Snohomish,WA,Truck,161,0,161,121611,121772,0.13
April 30 2019,Contra Costa,CA,Passenger,2,2,4,382,386,1.04
March 31 2018,Palm Beach,FL,Passenger,0,2,2,86,88,2.27
November 30 2019,Maui,HI,Passenger,2,0,2,45,47,4.26
November 30 2023,Pinal,AZ,Passenger,1,1,2,75,77,2.60
October 31 2020,Kings,NY,Passenger,1,0,1,67,68,1.47
February 28 2017,Volusia,FL,Passenger,0,1,1,50,51,1.96
October 31 2023,Grays Harbor,WA,Passenger,354,217,571,48084,48655,1.17
November 30 2021,DuPage,IL,Passenger,3,1,4,54,58,6.90
October 31 2023,Providence,RI,Passenger,1,0,1,19,20,5.00
August 31 2023,Atlantic,NJ,Passenger,1,0,1,12,13,7.69
March 31 2022,Boulder,CO,Passenger,2,0,2,48,50,4.00
January 31 2023,Bartow,GA,Passenger,0,1,1,5,6,16.67
September 30 2022,Owyhee,ID,Passenger,1,0,1,3,4,25.00
November 30 2019,Snohomish,WA,Truck,0,0,0,123145,123145,0.00
February 29 2020,San Juan,WA,Truck,0,0,0,5923,5923,0.00
May 31 2023,Douglas,WA,Passenger,198,61,259,28730,28989,0.89
October 31 2023,District of Columbia,DC,Passenger,2,0,2,144,146,1.37
August 31 2021,Suffolk,VA,Passenger,1,0,1,126,127,0.79
February 29 2024,Orange,CA,Passenger,6,2,8,258,266,3.01
July 31 2021,Saratoga,NY,Passenger,1,0,1,43,44,2.27
January 31 2021,Kent,MI,Passenger,0,1,1,27,28,3.57
February 28 2023,Mercer,NJ,Passenger,0,1,1,13,14,7.14
October 31 2022,Hennepin,MN,Passenger,1,0,1,54,55,1.82
November 30 2020,Clallam,WA,Truck,1,0,1,21773,21774,0.00
June 30 2023,Arlington,VA,Passenger,1,0,1,110,111,0.90
June 30 2021,Platte,MO,Passenger,1,0,1,19,20,5.00
November 30 2022,Douglas,CO,Passenger,0,1,1,75,76,1.32
April 30 2020,Pacific,WA,Truck,0,0,0,7662,7662,0.00
January 31 2019,DeKalb,GA,Passenger,1,0,1,79,80,1.25
August 31 2020,Pierce,WA,Passenger,2518,1703,4221,552121,556342,0.76
September 30 2020,Island,WA,Truck,1,0,1,21235,21236,0.00
August 31 2020,Saginaw,MI,Passenger,1,0,1,11,12,8.33
April 30 2018,Contra Costa,CA,Passenger,0,1,1,455,456,0.22
March 31 2021,Calvert,MD,Passenger,0,2,2,87,89,2.25
June 30 2020,Clark,NV,Passenger,3,2,5,702,707,0.71
October 31 2019,Moore,NC,Passenger,0,1,1,179,180,0.56
June 30 2022,Jefferson,WA,Truck,2,0,2,9459,9461,0.02
December 31 2017,Spokane,WA,Truck,1,0,1,91565,91566,0.00
August 31 2019,Virginia Beach,VA,Passenger,1,0,1,699,700,0.14
March 31 2021,Pima,AZ,Passenger,2,1,3,333,336,0.89
April 30 2017,Hardin,KY,Passenger,0,1,1,119,120,0.83
November 30 2023,Newport,RI,Passenger,0,1,1,54,55,1.82
July 31 2021,Owyhee,ID,Passenger,1,0,1,2,3,33.33
June 30 2023,Newport News,VA,Passenger,1,0,1,102,103,0.97
November 30 2018,Jefferson,CO,Passenger,0,2,2,60,62,3.23
March 31 2021,Sarasota,FL,Passenger,2,0,2,36,38,5.26
April 30 2019,Boulder,CO,Passenger,1,0,1,51,52,1.92
May 31 2020,Lee,FL,Passenger,1,0,1,50,51,1.96
December 31 2019,Twin Falls,ID,Passenger,0,1,1,31,32,3.12
April 30 2017,Skagit,WA,Passenger,124,97,221,87594,87815,0.25
July 31 2022,Montgomery,AL,Passenger,0,1,1,37,38,2.63
September 30 2020,Wahkiakum,WA,Truck,0,0,0,1758,1758,0.00
January 31 2020,Pinal,AZ,Passenger,1,0,1,200,201,0.50
August 31 2022,Howard,MD,Passenger,0,2,2,65,67,2.99
December 31 2021,Chelan,WA,Passenger,408,114,522,54664,55186,0.95
June 30 2021,St. Clair,IL,Passenger,1,0,1,139,140,0.71
February 28 2017,St. Lucie,FL,Passenger,1,0,1,31,32,3.12
June 30 2022,Asotin,WA,Passenger,23,20,43,12701,12744,0.34
August 31 2020,Ada,ID,Passenger,0,1,1,279,280,0.36
May 31 2022,Escambia,FL,Passenger,0,1,1,145,146,0.68
February 28 2017,Walla Walla,WA,Truck,0,0,0,13162,13162,0.00
January 31 2022,Yakima,WA,Truck,0,0,0,61594,61594,0.00
January 31 2023,Jefferson,NY,Passenger,2,0,2,211,213,0.94
August 31 2018,Pima,AZ,Passenger,1,1,2,437,439,0.46
April 30 2022,Los Angeles,CA,Passenger,5,7,12,863,875,1.37
May 31 2019,Bexar,TX,Passenger,2,5,7,686,693,1.01
April 30 2020,Albemarle,VA,Passenger,1,0,1,23,24,4.17
March 31 2019,Cowlitz,WA,Truck,0,0,0,28775,28775,0.00
June 30 2019,Snohomish,WA,Truck,0,0,0,122356,122356,0.00
July 31 2018,Whitman,WA,Passenger,19,28,47,22655,22702,0.21
January 31 2021,Chesapeake,VA,Passenger,0,2,2,422,424,0.47
November 30 2023,Cumberland,PA,Passenger,1,1,2,31,33,6.06
January 31 2024,Fredericksburg,VA,Passenger,1,0,1,5,6,16.67
April 30 2023,Pinal,AZ,Passenger,0,1,1,98,99,1.01
March 31 2019,Whitman,WA,Passenger,27,41,68,22705,22773,0.30
May 31 2019,Fresno,CA,Passenger,1,0,1,197,198,0.51
June 30 2017,Gwinnett,GA,Passenger,0,1,1,87,88,1.14
April 30 2021,Island,WA,Truck,0,0,0,21522,21522,0.00
June 30 2019,Portsmouth,VA,Passenger,0,1,1,73,74,1.35
March 31 2021,Ferry,WA,Truck,0,0,0,3626,3626,0.00
July 31 2018,Manassas,VA,Passenger,0,1,1,9,10,10.00
August 31 2018,Pacific,WA,Passenger,19,22,41,15666,15707,0.26
August 31 2019,Monterey,CA,Passenger,0,1,1,194,195,0.51
August 31 2017,Howard,MD,Passenger,0,2,2,91,93,2.15
October 31 2023,Norfolk,VA,Passenger,1,1,2,263,265,0.75
April 30 2024,,,Passenger,3,0,3,225,228,1.32
October 31 2020,Ferry,WA,Truck,0,0,0,3599,3599,0.00
May 31 2022,Placer,CA,Passenger,2,0,2,72,74,2.70
July 31 2018,Richland,SC,Passenger,0,1,1,172,173,0.58
December 31 2023,Asotin,WA,Truck,0,0,0,6597,6597,0.00
July 31 2017,King,WA,Passenger,10251,4171,14422,1372936,1387358,1.04
June 30 2018,Pima,AZ,Passenger,1,1,2,434,436,0.46
August 31 2022,Maui,HI,Passenger,1,0,1,25,26,3.85
December 31 2023,Lewis,WA,Passenger,400,309,709,59484,60193,1.18
March 31 2018,Pima,AZ,Passenger,1,1,2,437,439,0.46
May 31 2021,Lee,FL,Passenger,1,0,1,40,41,2.44
November 30 2021,Loudoun,VA,Passenger,1,0,1,68,69,1.45
February 28 2017,Dale,AL,Passenger,0,1,1,64,65,1.54
November 30 2020,Plaquemines,LA,Passenger,0,1,1,15,16,6.25
August 31 2018,Twin Falls,ID,Passenger,0,1,1,25,26,3.85
February 29 2024,Spokane,WA,Passenger,3048,1503,4551,319503,324054,1.40
September 30 2023,San Juan,WA,Passenger,655,184,839,13752,14591,5.75
November 30 2019,Wahkiakum,WA,Passenger,4,3,7,3038,3045,0.23
September 30 2023,Grant,WA,Truck,12,0,12,28113,28125,0.04
August 31 2017,Lane,OR,Passenger,0,1,1,225,226,0.44
January 31 2023,Douglas,NE,Passenger,2,1,3,32,35,8.57
May 31 2021,Richland,SC,Passenger,0,1,1,144,145,0.69
March 31 2023,Harford,MD,Passenger,1,1,2,43,45,4.44
November 30 2022,Madison,IL,Passenger,1,0,1,18,19,5.26
November 30 2023,Pima,AZ,Passenger,1,0,1,175,176,0.57
June 30 2022,Manassas,VA,Passenger,0,1,1,7,8,12.50
April 30 2024,St. Lawrence,NY,Passenger,1,0,1,1,2,50.00
March 31 2020,Garfield,WA,Truck,0,0,0,974,974,0.00
May 31 2017,Walla Walla,WA,Truck,0,0,0,13190,13190,0.00
April 30 2017,Salt Lake,UT,Passenger,0,1,1,290,291,0.34
June 30 2020,Hennepin,MN,Passenger,3,0,3,92,95,3.16
November 30 2021,Clinton,PA,Passenger,1,0,1,0,1,100.00
April 30 2022,Whatcom,WA,Truck,4,0,4,43428,43432,0.01
September 30 2019,Island,WA,Truck,0,0,0,21282,21282,0.00
February 29 2024,Ferry,WA,Passenger,27,4,31,4254,4285,0.72
January 31 2023,Burlington,NJ,Passenger,0,2,2,96,98,2.04
September 30 2021,San Mateo,CA,Passenger,1,0,1,100,101,0.99
January 31 2021,Vigo,IN,Passenger,1,0,1,6,7,14.29
November 30 2017,Spokane,WA,Passenger,291,239,530,299588,300118,0.18
November 30 2022,Jefferson,WA,Passenger,476,231,707,24365,25072,2.82
December 31 2017,St. Clair,IL,Passenger,0,1,1,162,163,0.61
June 30 2022,Thurston,WA,Passenger,2178,1055,3233,193905,197138,1.64
December 31 2023,Otero,NM,Passenger,0,1,1,22,23,4.35
November 30 2019,Charles,MD,Passenger,0,1,1,90,91,1.10
December 31 2021,Juneau,AK,Passenger,0,1,1,32,33,3.03
December 31 2020,Shelby,OH,Passenger,0,1,1,2,3,33.33
October 31 2017,Clark,WA,Passenger,829,559,1388,302224,303612,0.46
March 31 2019,Snohomish,WA,Truck,1,0,1,121891,121892,0.00
May 31 2017,Clark,WA,Truck,0,0,0,77580,77580,0.00
March 31 2020,Fresno,CA,Passenger,1,0,1,205,206,0.49
November 30 2018,Dallas,TX,Passenger,0,1,1,207,208,0.48
February 28 2022,Washington,MD,Passenger,2,0,2,12,14,14.29
January 31 2021,Dallas,TX,Passenger,1,0,1,179,180,0.56
March 31 2018,Prince George,VA,Passenger,0,1,1,73,74,1.35
November 30 2022,Garfield,WA,Truck,0,0,0,977,977,0.00
July 31 2021,Asotin,WA,Passenger,21,17,38,12689,12727,0.30
November 30 2022,Los Angeles,CA,Passenger,3,6,9,787,796,1.13
January 31 2020,Pima,AZ,Passenger,3,1,4,391,395,1.01
October 31 2020,Juneau,AK,Passenger,0,1,1,30,31,3.23
July 31 2023,Broward,FL,Passenger,1,0,1,63,64,1.56
November 30 2019,Osceola,FL,Passenger,1,0,1,45,46,2.17
September 30 2023,Allegheny,PA,Passenger,1,0,1,58,59,1.69
May 31 2017,Santa Clara,CA,Passenger,5,2,7,414,421,1.66
October 31 2017,Chelan,WA,Truck,0,0,0,21489,21489,0.00
April 30 2020,DeKalb,IN,Passenger,1,0,1,1,2,50.00
January 31 2022,Baltimore,MD,Passenger,1,0,1,89,90,1.11
January 31 2021,San Francisco,CA,Passenger,1,1,2,100,102,1.96
February 28 2017,Norfolk,MA,Passenger,1,0,1,38,39,2.56
June 30 2020,Prince George's,MD,Passenger,1,1,2,167,169,1.18
May 31 2021,Boulder,CO,Passenger,1,1,2,52,54,3.70
January 31 2021,Douglas,NE,Passenger,1,1,2,55,57,3.51
December 31 2023,Lake,IN,Passenger,0,1,1,5,6,16.67
May 31 2022,Kitsap,WA,Passenger,2352,1032,3384,178246,181630,1.86
January 31 2019,Walla Walla,WA,Passenger,42,54,96,36133,36229,0.26
November 30 2020,Pacific,WA,Passenger,36,34,70,15724,15794,0.44
January 31 2017,Clark,WA,Truck,0,0,0,77510,77510,0.00
May 31 2024,Jefferson,WA,Truck,23,0,23,8939,8962,0.26
June 30 2021,Montgomery,OH,Passenger,0,1,1,57,58,1.72
March 31 2019,Shasta,CA,Passenger,1,0,1,42,43,2.33
April 30 2021,Yakima,WA,Passenger,208,139,347,169151,169498,0.20
July 31 2019,DeKalb,GA,Passenger,1,0,1,80,81,1.23
December 31 2021,Klickitat,WA,Passenger,89,53,142,15331,15473,0.92
January 31 2024,Kitsap,WA,Truck,114,0,114,51600,51714,0.22
April 30 2023,Shasta,CA,Passenger,1,0,1,27,28,3.57
December 31 2018,Clay,FL,Passenger,0,1,1,90,91,1.10
April 30 2020,Greene,MO,Passenger,0,1,1,34,35,2.86
February 29 2024,Pierce,WA,Passenger,10055,3357,13412,521006,534418,2.51
September 30 2022,Adams,WA,Truck,1,0,1,5421,5422,0.02
September 30 2017,Clallam,WA,Passenger,95,83,178,48611,48789,0.36
August 31 2017,Madison,ID,Passenger,1,0,1,37,38,2.63
December 31 2017,Spokane,WA,Passenger,297,240,537,300049,300586,0.18
October 31 2019,Mason,WA,Passenger,140,127,267,47555,47822,0.56
October 31 2020,Lee,FL,Passenger,1,0,1,48,49,2.04
August 31 2019,Island,WA,Truck,0,0,0,21265,21265,0.00
February 29 2020,Anne Arundel,MD,Passenger,1,1,2,422,424,0.47
January 31 2020,Albemarle,VA,Passenger,1,0,1,27,28,3.57
August 31 2019,Jefferson,CO,Passenger,0,2,2,55,57,3.51
April 30 2023,Island,WA,Passenger,1010,425,1435,61118,62553,2.29
June 30 2019,Asotin,WA,Passenger,12,8,20,12635,12655,0.16
April 30 2020,Okanogan,WA,Passenger,34,31,65,25880,25945,0.25
September 30 2019,El Paso,TX,Passenger,3,0,3,469,472,0.64
April 30 2019,Howard,MD,Passenger,0,1,1,84,85,1.18
June 30 2020,Snohomish,WA,Passenger,4436,1764,6200,534368,540568,1.15
August 31 2019,Benton,WA,Truck,0,0,0,42175,42175,0.00
December 31 2022,Onslow,NC,Passenger,0,1,1,161,162,0.62
October 31 2018,Clackamas,OR,Passenger,0,1,1,217,218,0.46
July 31 2020,Montgomery,PA,Passenger,1,0,1,31,32,3.12
November 30 2019,Randolph,NC,Passenger,1,0,1,7,8,12.50
September 30 2021,Bexar,TX,Passenger,2,4,6,540,546,1.10
May 31 2024,Miami-Dade,FL,Passenger,1,0,1,48,49,2.04
December 31 2018,Suffolk,MA,Passenger,0,1,1,43,44,2.27
May 31 2021,Carson City,NV,Passenger,1,0,1,11,12,8.33
July 31 2017,Grant,WA,Passenger,19,30,49,61002,61051,0.08
November 30 2022,Ferry,WA,Passenger,24,4,28,4364,4392,0.64
December 31 2021,Sarpy,NE,Passenger,1,0,1,75,76,1.32
April 30 2018,Maricopa,AZ,Passenger,1,2,3,1637,1640,0.18
December 31 2019,Anne Arundel,MD,Passenger,1,1,2,433,435,0.46
May 31 2021,Milwaukee,WI,Passenger,1,0,1,43,44,2.27
August 31 2017,Multnomah,OR,Passenger,1,3,4,940,944,0.42
June 30 2017,Maricopa,AZ,Passenger,1,1,2,1795,1797,0.11
April 30 2018,Brevard,FL,Passenger,0,1,1,104,105,0.95
November 30 2021,Clark,NV,Passenger,8,2,10,605,615,1.63
August 31 2020,Garfield,WA,Passenger,0,1,1,1350,1351,0.07
July 31 2022,Houston,GA,Passenger,1,0,1,35,36,2.78
April 30 2022,Pima,AZ,Passenger,1,1,2,263,265,0.75
March 31 2024,Bartow,GA,Passenger,0,1,1,3,4,25.00
May 31 2020,Placer,CA,Passenger,2,0,2,96,98,2.04
November 30 2019,Jefferson,NY,Passenger,0,1,1,215,216,0.46
August 31 2019,Harrison,MS,Passenger,1,0,1,65,66,1.52
September 30 2022,Danville,VA,Passenger,1,0,1,0,1,100.00
January 31 2022,Sarpy,NE,Passenger,1,0,1,74,75,1.33
January 31 2024,Cache,UT,Passenger,1,0,1,8,9,11.11
June 30 2019,Cowlitz,WA,Passenger,98,108,206,73004,73210,0.28
June 30 2022,Yakima,WA,Passenger,336,193,529,166911,167440,0.32
July 31 2018,Kittitas,WA,Passenger,49,32,81,28991,29072,0.28
January 31 2020,Harris,TX,Passenger,1,0,1,270,271,0.37
December 31 2023,San Diego,CA,Passenger,18,9,27,1942,1969,1.37
November 30 2018,Arlington,VA,Passenger,1,1,2,168,170,1.18
September 30 2018,Garfield,WA,Truck,0,0,0,964,964,0.00
April 30 2022,Pierce,WA,Passenger,4829,2265,7094,548025,555119,1.28
May 31 2023,Pend Oreille,WA,Passenger,30,11,41,8889,8930,0.46
July 31 2022,Whatcom,WA,Truck,11,0,11,43186,43197,0.03
April 30 2018,San Diego,CA,Passenger,7,2,9,2568,2577,0.35
May 31 2021,Okaloosa,FL,Passenger,0,1,1,128,129,0.78
March 31 2022,Garfield,WA,Truck,0,0,0,998,998,0.00
November 30 2019,Deschutes,OR,Passenger,4,0,4,159,163,2.45
May 31 2017,Marin,CA,Passenger,1,0,1,57,58,1.72
January 31 2024,Tarrant,TX,Passenger,1,0,1,81,82,1.22
July 31 2018,San Juan,WA,Passenger,149,62,211,14108,14319,1.47
March 31 2017,Okanogan,WA,Passenger,3,16,19,25634,25653,0.07
February 28 2019,Nueces,TX,Passenger,1,1,2,90,92,2.17
November 30 2020,Chelan,WA,Truck,0,0,0,22764,22764,0.00
August 31 2017,Canyon,ID,Passenger,0,1,1,100,101,0.99
July 31 2019,Bucks,PA,Passenger,1,0,1,24,25,4.00
May 31 2024,Prince William,VA,Passenger,2,4,6,124,130,4.62
November 30 2023,Richmond,NY,Passenger,1,0,1,4,5,20.00
April 30 2024,Charleston,SC,Passenger,1,2,3,37,40,7.50
February 29 2020,Cascade,MT,Passenger,0,1,1,60,61,1.64
April 30 2019,Saratoga,NY,Passenger,1,0,1,56,57,1.75
June 30 2021,Kitsap,WA,Truck,0,0,0,54419,54419,0.00
August 31 2020,El Paso,CO,Passenger,2,0,2,716,718,0.28
December 31 2021,Salt Lake,UT,Passenger,1,1,2,176,178,1.12
August 31 2023,Los Angeles,CA,Passenger,6,4,10,631,641,1.56
August 31 2021,Polk,FL,Passenger,1,0,1,66,67,1.49
October 31 2017,Kittitas,WA,Passenger,34,23,57,28112,28169,0.20
June 30 2017,Montgomery,MD,Passenger,1,0,1,308,309,0.32
May 31 2019,Klickitat,WA,Truck,0,0,0,8232,8232,0.00
March 31 2021,Whitman,WA,Truck,0,0,0,8554,8554,0.00
October 31 2020,Stafford,VA,Passenger,1,1,2,104,106,1.89
March 31 2019,Tulsa,OK,Passenger,1,1,2,55,57,3.51
September 30 2023,Kent,DE,Passenger,1,0,1,37,38,2.63
November 30 2023,Sarasota,FL,Passenger,1,0,1,23,24,4.17
May 31 2024,Collier,FL,Passenger,1,0,1,10,11,9.09
November 30 2017,Yakima,WA,Truck,0,0,0,57907,57907,0.00
October 31 2022,Stafford,VA,Passenger,2,1,3,87,90,3.33
December 31 2018,Middlesex,MA,Passenger,1,0,1,128,129,0.78
April 30 2024,Kittitas,WA,Passenger,507,131,638,28951,29589,2.16
November 30 2021,Columbia,WA,Truck,0,0,0,1551,1551,0.00
May 31 2024,Pinal,AZ,Passenger,1,1,2,63,65,3.08
March 31 2021,Skamania,WA,Truck,0,0,0,4024,4024,0.00
April 30 2018,Montgomery,MD,Passenger,1,0,1,297,298,0.34
November 30 2022,Tompkins,NY,Passenger,0,1,1,16,17,5.88
November 30 2018,Douglas,WA,Passenger,49,33,82,27964,28046,0.29
November 30 2023,Wake,NC,Passenger,3,0,3,76,79,3.80
January 31 2024,Pacific,WA,Truck,6,0,6,7830,7836,0.08
October 31 2018,Jefferson,WA,Truck,0,0,0,9605,9605,0.00
May 31 2017,Harnett,NC,Passenger,1,0,1,266,267,0.37
December 31 2020,Ada,ID,Passenger,0,1,1,268,269,0.37
August 31 2022,Solano,CA,Passenger,2,0,2,162,164,1.22
January 31 2018,Manassas,VA,Passenger,0,1,1,9,10,10.00
October 31 2019,Thurston,WA,Passenger,1005,685,1690,198958,200648,0.84
April 30 2022,Yakima,WA,Truck,0,0,0,61506,61506,0.00
May 31 2021,Duval,FL,Passenger,0,2,2,346,348,0.57
February 28 2021,Plaquemines,LA,Passenger,0,1,1,16,17,5.88
January 31 2022,Boulder,CO,Passenger,2,1,3,48,51,5.88
January 31 2017,Adams,WA,Passenger,1,1,2,12174,12176,0.02
August 31 2019,Clark,NV,Passenger,5,2,7,709,716,0.98
July 31 2018,Lane,OR,Passenger,0,1,1,187,188,0.53
December 31 2023,Williamson,TX,Passenger,1,1,2,46,48,4.17
September 30 2018,Ferry,WA,Truck,0,0,0,3557,3557,0.00
December 31 2022,Middlesex,MA,Passenger,2,0,2,81,83,2.41
January 31 2017,Saratoga,NY,Passenger,1,1,2,78,80,2.50
February 28 2019,Calvert,MD,Passenger,0,1,1,87,88,1.14
April 30 2017,Montgomery,PA,Passenger,1,0,1,41,42,2.38
December 31 2020,Whatcom,WA,Passenger,1219,550,1769,149953,151722,1.17
August 31 2021,Plaquemines,LA,Passenger,0,1,1,18,19,5.26
September 30 2021,Harris,TX,Passenger,1,1,2,207,209,0.96
February 29 2024,Lake,IL,Passenger,6,0,6,117,123,4.88
September 30 2022,Polk,OR,Passenger,0,1,1,21,22,4.55
September 30 2020,Morris,NJ,Passenger,1,0,1,17,18,5.56
